4 , 5
0 , -0.025 - 1.6 , -0.025
0 , 0.025 - 1.6 , 0.025
0 , -0.025 - 0 , 0.025
1.6 , -0.025 - 1.6 , 0.025
2 , -0.025 - 2.8 , -0.025
2 , 0.025 - 2.8 , 0.025
2 , -0.025 - 2 , 0.025
2.8 , -0.025 - 2.8 , 0.025
1.6 , 0.375 - 2.4 , 0.375
1.6 , 0.425 - 2.4 , 0.425
1.6 , 0.375 - 1.6 , 0.425
2.4 , 0.375 - 2.4 , 0.425
1.2 , 0.775 - 2 , 0.775
1.2 , 0.825 - 2 , 0.825
1.2 , 0.775 - 1.2 , 0.825
2 , 0.775 - 2 , 0.825
0.4 , 1.175 - 1.6 , 1.175
0.4 , 1.225 - 1.6 , 1.225
0.4 , 1.175 - 0.4 , 1.225
1.6 , 1.175 - 1.6 , 1.225
2 , 1.175 - 2.8 , 1.175
2 , 1.225 - 2.8 , 1.225
2 , 1.175 - 2 , 1.225
2.8 , 1.175 - 2.8 , 1.225
0.8 , 1.575 - 1.2 , 1.575
0.8 , 1.625 - 1.2 , 1.625
0.8 , 1.575 - 0.8 , 1.625
1.2 , 1.575 - 1.2 , 1.625
2 , 1.575 - 2.4 , 1.575
2 , 1.625 - 2.4 , 1.625
2 , 1.575 - 2 , 1.625
2.4 , 1.575 - 2.4 , 1.625
0 , 1.975 - 0.4 , 1.975
0 , 2.025 - 0.4 , 2.025
0 , 1.975 - 0 , 2.025
0.4 , 1.975 - 0.4 , 2.025
0.8 , 1.975 - 1.2 , 1.975
0.8 , 2.025 - 1.2 , 2.025
0.8 , 1.975 - 0.8 , 2.025
1.2 , 1.975 - 1.2 , 2.025
1.6 , 1.975 - 2.4 , 1.975
1.6 , 2.025 - 2.4 , 2.025
1.6 , 1.975 - 1.6 , 2.025
2.4 , 1.975 - 2.4 , 2.025
0 , 2.375 - 2.8 , 2.375
0 , 2.425 - 2.8 , 2.425
0 , 2.375 - 0 , 2.425
2.8 , 2.375 - 2.8 , 2.425
0.025 , 0.4 - 0.025 , 2.4
-0.025 , 0.4 - -0.025 , 2.4
0.025 , 0.4 - -0.025 , 0.4
0.025 , 2.4 - -0.025 , 2.4
0.425 , 0 - 0.425 , 1.6
0.375 , 0 - 0.375 , 1.6
0.425 , 0 - 0.375 , 0
0.425 , 1.6 - 0.375 , 1.6
0.825 , 0.4 - 0.825 , 2
0.775 , 0.4 - 0.775 , 2
0.825 , 0.4 - 0.775 , 0.4
0.825 , 2 - 0.775 , 2
1.225 , 0 - 1.225 , 0.8
1.175 , 0 - 1.175 , 0.8
1.225 , 0 - 1.175 , 0
1.225 , 0.8 - 1.175 , 0.8
1.625 , 1.2 - 1.625 , 1.6
1.575 , 1.2 - 1.575 , 1.6
1.625 , 1.2 - 1.575 , 1.2
1.625 , 1.6 - 1.575 , 1.6
1.625 , 2 - 1.625 , 2.4
1.575 , 2 - 1.575 , 2.4
1.625 , 2 - 1.575 , 2
1.625 , 2.4 - 1.575 , 2.4
2.025 , 1.2 - 2.025 , 1.6
1.975 , 1.2 - 1.975 , 1.6
2.025 , 1.2 - 1.975 , 1.2
2.025 , 1.6 - 1.975 , 1.6
2.425 , 0.4 - 2.425 , 1.2
2.375 , 0.4 - 2.375 , 1.2
2.425 , 0.4 - 2.375 , 0.4
2.425 , 1.2 - 2.375 , 1.2
2.825 , 0 - 2.825 , 2.4
2.775 , 0 - 2.775 , 2.4
2.825 , 0 - 2.775 , 0
2.825 , 2.4 - 2.775 , 2.4
