4 , 5
0 , -0.025 - 4.8 , -0.025
0 , 0.025 - 4.8 , 0.025
0 , -0.025 - 0 , 0.025
4.8 , -0.025 - 4.8 , 0.025
0.4 , 0.375 - 0.8 , 0.375
0.4 , 0.425 - 0.8 , 0.425
0.4 , 0.375 - 0.4 , 0.425
0.8 , 0.375 - 0.8 , 0.425
1.2 , 0.375 - 1.6 , 0.375
1.2 , 0.425 - 1.6 , 0.425
1.2 , 0.375 - 1.2 , 0.425
1.6 , 0.375 - 1.6 , 0.425
2.4 , 0.375 - 2.8 , 0.375
2.4 , 0.425 - 2.8 , 0.425
2.4 , 0.375 - 2.4 , 0.425
2.8 , 0.375 - 2.8 , 0.425
3.2 , 0.375 - 3.6 , 0.375
3.2 , 0.425 - 3.6 , 0.425
3.2 , 0.375 - 3.2 , 0.425
3.6 , 0.375 - 3.6 , 0.425
4.4 , 0.375 - 4.8 , 0.375
4.4 , 0.425 - 4.8 , 0.425
4.4 , 0.375 - 4.4 , 0.425
4.8 , 0.375 - 4.8 , 0.425
0.8 , 0.775 - 1.2 , 0.775
0.8 , 0.825 - 1.2 , 0.825
0.8 , 0.775 - 0.8 , 0.825
1.2 , 0.775 - 1.2 , 0.825
1.6 , 0.775 - 2.4 , 0.775
1.6 , 0.825 - 2.4 , 0.825
1.6 , 0.775 - 1.6 , 0.825
2.4 , 0.775 - 2.4 , 0.825
3.2 , 0.775 - 4 , 0.775
3.2 , 0.825 - 4 , 0.825
3.2 , 0.775 - 3.2 , 0.825
4 , 0.775 - 4 , 0.825
0 , 1.175 - 0.4 , 1.175
0 , 1.225 - 0.4 , 1.225
0 , 1.175 - 0 , 1.225
0.4 , 1.175 - 0.4 , 1.225
0.8 , 1.175 - 1.2 , 1.175
0.8 , 1.225 - 1.2 , 1.225
0.8 , 1.175 - 0.8 , 1.225
1.2 , 1.175 - 1.2 , 1.225
1.6 , 1.175 - 2.4 , 1.175
1.6 , 1.225 - 2.4 , 1.225
1.6 , 1.175 - 1.6 , 1.225
2.4 , 1.175 - 2.4 , 1.225
2.8 , 1.175 - 3.2 , 1.175
2.8 , 1.225 - 3.2 , 1.225
2.8 , 1.175 - 2.8 , 1.225
3.2 , 1.175 - 3.2 , 1.225
0.8 , 1.575 - 1.6 , 1.575
0.8 , 1.625 - 1.6 , 1.625
0.8 , 1.575 - 0.8 , 1.625
1.6 , 1.575 - 1.6 , 1.625
2 , 1.575 - 2.4 , 1.575
2 , 1.625 - 2.4 , 1.625
2 , 1.575 - 2 , 1.625
2.4 , 1.575 - 2.4 , 1.625
3.6 , 1.575 - 4 , 1.575
3.6 , 1.625 - 4 , 1.625
3.6 , 1.575 - 3.6 , 1.625
4 , 1.575 - 4 , 1.625
0.8 , 1.975 - 1.2 , 1.975
0.8 , 2.025 - 1.2 , 2.025
0.8 , 1.975 - 0.8 , 2.025
1.2 , 1.975 - 1.2 , 2.025
1.6 , 1.975 - 2 , 1.975
1.6 , 2.025 - 2 , 2.025
1.6 , 1.975 - 1.6 , 2.025
2 , 1.975 - 2 , 2.025
2.8 , 1.975 - 3.6 , 1.975
2.8 , 2.025 - 3.6 , 2.025
2.8 , 1.975 - 2.8 , 2.025
3.6 , 1.975 - 3.6 , 2.025
4 , 1.975 - 4.8 , 1.975
4 , 2.025 - 4.8 , 2.025
4 , 1.975 - 4 , 2.025
4.8 , 1.975 - 4.8 , 2.025
0.4 , 2.375 - 0.8 , 2.375
0.4 , 2.425 - 0.8 , 2.425
